,SMILES,Assay ID,diff
40,"c1ccc(OCC(=O)N2CCCC[C]2C#Cc2ccc(C(=O)N)cc2)cc1	
",CHEMBL3431937,0.010740078746870552
41,"c1ccc(OCC(=O)N2CCCC[C]2C(=O)N2CCc3ccc(S(=O)(=O)N)cc3C2)cc1	
",CHEMBL3431937,0.43650298823532907
42,"N1(C)CCCN(C(=O)[C]2NC(=O)c3c(cccc3)OCCCNC(=O)[C](C[C](C)C)NC(=O)CC2)CC1	
",Astellas,0.07923004078308349
43,"C(=O)(c1c(Cl)c(Cl)c(S(=O)(=O)CCCCCC)cc1)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,0.31601164794875514
44,"c1(C(=O)N2CCCCCN(CC)C(=O)c3c(cccc3)OC[C]2[C](C)C)nc(N)sc1	
",Astellas,-0.049859784805556195
45,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3c(Cl)cnc(N)n3)on2)cc1	
",CHEMBL3431937,-0.08020572124342706
46,"n1c(N)c(cnc1N)Cc1cc(OC)c(OC)c(OC)c1	
",CHEMBL905613,-0.057841830550162676
47,"COc1ccc(Cl)cc1S(=O)(=O)N1COc2c1cc(C(=O)Nc1ccc(CC(=O)[O-])cc1)cc2F	
",CHEMBL3431937,0.11078498097977896
48,"c1(C)c(O)ccc(C)c1	
",CHEMBL905613,0.7428023357626437
49,"C[N@@H+]1CCN(C(=O)COc2ccccc2)[C](c2[nH]nc(c3cccc(C(F)(F)F)c3)n2)C1	
",CHEMBL3431937,-0.35015816546261647
50,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc4c(scn4)c3)on2)cc1	
",CHEMBL3431937,0.18181868136156254
51,"CC1(C)c2ccc(C(=O)Nc3ccc(CC(=O)[O-])c(Cl)c3)cc2N(Cc2cc(Cl)ccc2OC)C(=O)O1	
",CHEMBL3431937,-0.12489792146008583
52,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1)CC[NH+]1CCOCC1	
",CHEMBL1034536,0.29659414288521146
53,"c1cc(S(=O)(=O)n2ccc3c2cc(C(=O)Nc2ccc(CC(=O)[O-])cc2)cc3)cc(Cl)c1	
",CHEMBL3431937,0.8027572240147292
