No.,Compound ID,SMILES,Assay ID,LogP app
42,CHEMBL551962,"C(=O)(c1c(Cl)cc(OCCCCCC)cc1Cl)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-6
43,CHEMBL551975,"N1C(=O)C[N@@H+](CCC(=O)c2c(Cl)cc(SCCCCCC)cc2)CC1	
",CHEMBL1034536,-2.87
44,CHEMBL551976,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1)CC[NH+]1CCN(S(=O)(=O)CC)CC1	
",CHEMBL1034536,-3.13
45,CHEMBL551979,"C(=O)(c1cc(C(C)(C)C)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.72
46,CHEMBL552048,"C(=O)(c1c(Cl)cc(OCCCCCC)c(Cl)c1)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,-2.81
47,CHEMBL552105,"C(=O)(c1cc(SC)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.9
48,CHEMBL552106,"C(=O)(c1c(SC)cc(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.84
49,CHEMBL552158,"C(=O)(c1cc(F)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.16
50,CHEMBL552185,"C(=O)(c1ccc(OCCCCCC)c2ccccc12)CC[NH+](C)C	
",CHEMBL1034536,-3.18
51,CHEMBL552392,"C1(=O)[C](C[NH+](C)C)CCc2cc(OCCCCCC)ccc12	
",CHEMBL1034536,-3.15
52,CHEMBL552517,"C(=O)(c1c(Cl)cc(SCCCCCC)c(Cl)c1)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.85
53,CHEMBL552742,"C(=O)(c1c(N(C)C)cc(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.77
54,CHEMBL553190,"C(=O)(c1ccc(SCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.83
55,CHEMBL553624,"C(=O)(c1c(C)cc(OCCCCCC)cc1C)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.03
56,CHEMBL553652,"C(=O)(c1ccc(OCCCCCC)cc1)CC[NH+]1CCCC1	
",CHEMBL1034536,-2.89
57,CHEMBL555065,"C(=O)(c1c(Cl)cc(OCCCCCC)c(Cl)c1)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.09
58,CHEMBL555726,"C(S(=O)(=O)Nc1ccc(C(=O)CC[NH+](C)C)cc1)CCCC	
",CHEMBL1034536,-4.3
59,CHEMBL555749,"C1(=O)[C](C[NH+](C)C)Cc2cc(OCCCCCC)ccc12	
",CHEMBL1034536,-3.64
60,CHEMBL556270,"C(=O)(c1c(Cl)c(Cl)c(OCCCCCC)cc1)CC[NH+]1CCN(S(=O)(=O)CC)CC1	
",CHEMBL1034536,-6
61,CHEMBL557905,"C(=O)(c1c(S(=O)(=O)C)cc(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.07
62,CHEMBL557906,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1Cl)CC[NH+]1CCOCC1	
",CHEMBL1034536,-5
